video_id,video_url,video_path,probability,is_accident,quality_score,rms,zero_crossings,silence
vid_01,https://www.youtube.com/watch?v=4e4iE1FxRkk,data/retrieved-videos/Caught On Dash Cam - Top 6 Most Shocking Moments ｜ Road Wars ｜ A&E.mp4,,,,,,
vid_02,https://www.youtube.com/watch?v=ZqByRRQNhnA,"data/retrieved-videos/Traffic camera footage shows driver of sports car lose control and crash, killing her passenger.mp4",,,,,,
vid_03,https://www.youtube.com/watch?v=Dt4i9xmMjUg,data/retrieved-videos/INSANE CAR CRASHES COMPILATION  ｜｜ Best of USA & Canada Accidents - part 37.mp4,,,,,,
vid_04,https://www.youtube.com/watch?v=X_yoLHwNSRU,data/retrieved-videos/Australian Car Crash ⧸ Dash Cam Compilation 41.mp4,,,,,,
vid_05,https://www.youtube.com/watch?v=uKHe9_3qRV4,data/retrieved-videos/Dashcam shows Louisville bridge crash that left semi hanging over Ohio River.mp4,,,,,,
